Configuration,Average Objective,Average Elapsed Time (s),Ratio Avg Objective / Avg Elapsed Time
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,1593.0,1.1026927882000002,1444.6453418819954
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,1617.4,1.0310106399,1568.7519967367894
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,1567.5,1.0464215168,1497.9623171296014
One-vs-OneGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,1465.4,1.0923374242,1341.5268648084832
One-vs-OneGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_SEQ,1523.6,1.0175538337,1497.3163576613233
SSGA_PopSize32_Evals250K_MR0.050000_CR_0.800000_OMP,1567.9,1.0535768139,1488.1686644148351
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_SEQ,1555.8,1.0897390754999998,1427.681208261858
SSGA_PopSize32_Evals250K_MR0.100000_CR_0.700000_OMP,1580.6,1.0916659023,1447.8788763758935
Dynamic,1969.0,0.00023609,8340039.815324664
